city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,ci_lo,ci_hi,sign
Wuhan,China,lowland,30.5928,114.3055,3.5,SSP2-4.5,72,0.00939,-0.01219,0.02908,zero-crossing
Wuhan,China,lowland,30.5928,114.3055,3.5,SSP5-8.5,72,0.00682,-0.01506,0.0278,zero-crossing
Guangzhou,China,deltaic,23.1291,113.2644,2.5,Control-NoCC,72,0.00167,-0.01681,0.02041,zero-crossing
Guangzhou,China,deltaic,23.1291,113.2644,2.5,SSP1-2.6,72,0.01576,-0.00331,0.03426,zero-crossing
Guangzhou,China,deltaic,23.1291,113.2644,2.5,SSP2-4.5,72,0.01398,-0.00592,0.0296,zero-crossing
Guangzhou,China,deltaic,23.1291,113.2644,2.5,SSP5-8.5,72,0.02955,0.01113,0.04834,positive
Bushehr,Iran,coastal,28.9684,50.8385,4.5,Control-NoCC,72,-0.01279,-0.03891,0.00943,zero-crossing
Bushehr,Iran,coastal,28.9684,50.8385,4.5,SSP1-2.6,72,-0.00089,-0.02611,0.02224,zero-crossing
Bushehr,Iran,coastal,28.9684,50.8385,4.5,SSP2-4.5,72,0.01022,-0.01543,0.03853,zero-crossing
Bushehr,Iran,coastal,28.9684,50.8385,4.5,SSP5-8.5,72,0.01153,-0.00726,0.033,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,Control-NoCC,72,0.00928,-0.01029,0.02795,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,SSP1-2.6,72,0.01157,-0.0097,0.0334,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,SSP2-4.5,72,0.00869,-0.01069,0.02926,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,SSP5-8.5,72,0.01335,-0.00666,0.03457,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,Control-NoCC,72,0.01524,-0.00645,0.03611,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,SSP1-2.6,72,0.01014,-0.01252,0.03134,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,SSP2-4.5,72,0.00665,-0.0173,0.02854,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,SSP5-8.5,72,-0.00713,-0.02904,0.01407,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,Control-NoCC,72,0.00829,-0.01265,0.03108,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,SSP1-2.6,72,0.01531,-0.00677,0.03802,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,SSP2-4.5,72,-0.00523,-0.02973,0.01991,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,SSP5-8.5,72,0.00906,-0.01064,0.0297,zero-crossing
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,Control-NoCC,72,0.00635,-0.01237,0.02712,zero-crossing
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,SSP1-2.6,72,0.02169,-0.00445,0.04742,zero-crossing
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,SSP2-4.5,72,-0.00865,-0.03346,0.01384,zero-crossing
