model,held_out,epoch,train_rmse,test_rmse
gnn,3,8,0.06177,0.0699
gnn,3,9,0.06122,0.06258
gnn,3,10,0.05681,0.06533
gnn,3,11,0.06199,0.05878
gnn,3,12,0.05873,0.05728
gnn,3,13,0.06191,0.06137
gnn,3,14,0.05495,0.05863
gnn,3,15,0.05784,0.06048
gnn,3,16,0.05554,0.05645
gnn,3,17,0.05556,0.06427
gnn,3,18,0.06004,0.06086
gnn,3,19,0.05504,0.05394
gnn,3,20,0.05349,0.05554
gnn,3,21,0.05491,0.0574
gnn,3,22,0.05547,0.05729
gnn,3,23,0.05644,0.06033
gnn,3,24,0.05412,0.07032
gnn,3,25,0.05655,0.06133
gnn,3,26,0.05269,0.06276
gnn,3,27,0.05664,0.05659
gnn,3,28,0.05586,0.05896
gnn,3,29,0.05246,0.0614
gnn,3,30,0.05552,0.05284
gnn,3,31,0.05661,0.0583
gnn,3,32,0.05944,0.08259
gnn,3,33,0.05374,0.06617
gnn,3,34,0.0535,0.05763
gnn,3,35,0.05263,0.05951
gnn,3,36,0.05501,0.05524
gnn,3,37,0.05366,0.05985
gnn,3,38,0.05336,0.05685
gnn,3,39,0.05305,0.05639
mlp,3,0,0.22592,0.09496
mlp,3,1,0.08491,0.08898
mlp,3,2,0.08075,0.11058
mlp,3,3,0.0831,0.07665
mlp,3,4,0.07482,0.07933
mlp,3,5,0.07174,0.075
mlp,3,6,0.06988,0.08476
mlp,3,7,0.07079,0.07096
mlp,3,8,0.07818,0.07495
mlp,3,9,0.07053,0.0705
mlp,3,10,0.06695,0.06588
mlp,3,11,0.06713,0.06856
mlp,3,12,0.0654,0.0638
mlp,3,13,0.06739,0.06476
mlp,3,14,0.06371,0.06881
mlp,3,15,0.0646,0.06449
mlp,3,16,0.06347,0.06293
mlp,3,17,0.0631,0.06588
mlp,3,18,0.06545,0.06729
mlp,3,19,0.06312,0.06264
mlp,3,20,0.06304,0.0648
mlp,3,21,0.06702,0.07144
mlp,3,22,0.06452,0.0695
mlp,3,23,0.06315,0.06706
mlp,3,24,0.06355,0.06695
mlp,3,25,0.06299,0.07291
mlp,3,26,0.06169,0.06869
mlp,3,27,0.06599,0.06283
mlp,3,28,0.06582,0.06862
mlp,3,29,0.06189,0.06286
mlp,3,30,0.064,0.06155
mlp,3,31,0.06402,0.06901
mlp,3,32,0.06271,0.07168
mlp,3,33,0.06173,0.0801
mlp,3,34,0.06413,0.06189
mlp,3,35,0.06156,0.06527
mlp,3,36,0.0627,0.07009
mlp,3,37,0.06365,0.06486
mlp,3,38,0.06295,0.06206
mlp,3,39,0.06215,0.06364
gnn,3,0,0.23728,0.10533
gnn,3,1,0.07936,0.10137
gnn,3,2,0.07237,0.06957
gnn,3,3,0.06784,0.07099
gnn,3,4,0.06256,0.07254
gnn,3,5,0.06344,0.06124
gnn,3,6,0.06182,0.05751
gnn,3,7,0.05672,0.05726
