city,ssp,epoch,n_seeds,mean_gap,ci_lo,ci_hi,sign
Guangzhou,Control-NoCC,2060,6,0.00349,-0.01558,0.02174,zero-crossing
Guangzhou,Control-NoCC,2070,6,0.01059,-0.00708,0.02336,zero-crossing
Guangzhou,Control-NoCC,2080,6,-0.00783,-0.02309,0.00094,zero-crossing
Guangzhou,Control-NoCC,2090,6,0.0016,-0.01286,0.01726,zero-crossing
Guangzhou,Control-NoCC,2100,6,0.00462,-0.00651,0.01487,zero-crossing
Guangzhou,SSP1-2.6,2030,6,0.00675,-0.00841,0.01929,zero-crossing
Guangzhou,SSP1-2.6,2040,6,0.00765,-0.00722,0.03036,zero-crossing
Guangzhou,SSP1-2.6,2050,6,0.00188,-0.01178,0.02637,zero-crossing
Guangzhou,SSP1-2.6,2060,6,0.0025,-0.00602,0.01269,zero-crossing
Guangzhou,SSP1-2.6,2070,6,0.00211,-0.02007,0.03138,zero-crossing
Guangzhou,SSP1-2.6,2080,6,0.01183,0.00546,0.02595,positive
Guangzhou,SSP1-2.6,2090,6,0.00862,-0.00592,0.02793,zero-crossing
Guangzhou,SSP1-2.6,2100,6,0.00882,-0.00425,0.02709,zero-crossing
Guangzhou,SSP2-4.5,2030,6,0.01118,-0.0007,0.02348,zero-crossing
Guangzhou,SSP2-4.5,2040,6,0.02437,0.00993,0.03458,positive
Guangzhou,SSP2-4.5,2050,6,0.018,-0.00031,0.03096,zero-crossing
Guangzhou,SSP2-4.5,2060,6,0.00871,-0.00646,0.03103,zero-crossing
Guangzhou,SSP2-4.5,2070,6,0.00502,-0.01261,0.01727,zero-crossing
Guangzhou,SSP2-4.5,2080,6,0.00951,-0.00596,0.02325,zero-crossing
Guangzhou,SSP2-4.5,2090,6,0.01611,-0.00322,0.02795,zero-crossing
Guangzhou,SSP2-4.5,2100,6,0.01007,-0.01224,0.02971,zero-crossing
Guangzhou,SSP5-8.5,2030,6,-0.00573,-0.01706,0.00033,zero-crossing
Guangzhou,SSP5-8.5,2040,6,-0.01283,-0.03735,0.00105,zero-crossing
Guangzhou,SSP5-8.5,2050,6,-0.00913,-0.03889,0.01715,zero-crossing
Guangzhou,SSP5-8.5,2060,6,0.00085,-0.01666,0.01747,zero-crossing
Guangzhou,SSP5-8.5,2070,6,-0.00359,-0.01532,0.00581,zero-crossing
Guangzhou,SSP5-8.5,2080,6,0.00599,-0.02432,0.03441,zero-crossing
Guangzhou,SSP5-8.5,2090,6,0.01107,-0.01512,0.03762,zero-crossing
Guangzhou,SSP5-8.5,2100,6,0.0038,-0.00684,0.01687,zero-crossing
Manila,Control-NoCC,2030,6,-0.02322,-0.04014,-0.00477,negative
Manila,Control-NoCC,2040,6,-0.00453,-0.0221,0.01296,zero-crossing
Manila,Control-NoCC,2050,6,-0.0173,-0.0441,0.00979,zero-crossing
Manila,Control-NoCC,2060,6,-0.00443,-0.02177,0.01799,zero-crossing
