city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,std_gap,ci_lo,ci_hi,sign
Algiers,Algeria,coastal,36.7372,3.0866,7.0,Control-NoCC,72,-0.01293,0.09708,-0.03444,0.00953,zero-crossing
Algiers,Algeria,coastal,36.7372,3.0866,7.0,SSP1-2.6,72,0.00383,0.09159,-0.01569,0.02512,zero-crossing
Algiers,Algeria,coastal,36.7372,3.0866,7.0,SSP2-4.5,72,0.00866,0.1056,-0.0157,0.03382,zero-crossing
Algiers,Algeria,coastal,36.7372,3.0866,7.0,SSP5-8.5,72,0.0071,0.09497,-0.01499,0.02963,zero-crossing
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,Control-NoCC,72,-0.00602,0.10126,-0.02823,0.01867,zero-crossing
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,SSP1-2.6,72,0.00458,0.09675,-0.01859,0.02588,zero-crossing
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,SSP2-4.5,72,0.00059,0.10996,-0.02465,0.02603,zero-crossing
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,SSP5-8.5,72,0.01024,0.08879,-0.00965,0.0302,zero-crossing
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,Control-NoCC,72,-0.0072,0.1042,-0.0304,0.01828,zero-crossing
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,SSP1-2.6,72,0.00539,0.10075,-0.01761,0.02867,zero-crossing
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,SSP2-4.5,72,0.00175,0.10474,-0.0229,0.02472,zero-crossing
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,SSP5-8.5,72,0.00528,0.09795,-0.01763,0.02851,zero-crossing
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,Control-NoCC,72,-0.00682,0.08808,-0.02669,0.01521,zero-crossing
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,SSP1-2.6,72,0.00464,0.08292,-0.01483,0.02355,zero-crossing
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,SSP2-4.5,72,0.01025,0.09794,-0.01157,0.03274,zero-crossing
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,SSP5-8.5,72,0.01286,0.09211,-0.00851,0.03347,zero-crossing
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,Control-NoCC,72,-0.00816,0.10976,-0.03136,0.01809,zero-crossing
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,SSP1-2.6,72,0.01603,0.10174,-0.0077,0.03937,zero-crossing
